000000C1,14,00,01,00,00,00,00,00
000000C2,14,00,00,00,FF,FF,00,00
00000400,FD,C6,05,EA,08,15,08,75
00000401,00,00,00,00,00,00,00,00
00000401,00,00,00,00,00,00,00,00
000000A5,E2,0A,FA,FF,00,00,E0,00
000000A7,00,00,00,00,00,00,00,00
000000AA,00,0C,09,00,00,F0,C0,00
000000AB,00,00,00,00,00,00,00,00
000000A5,E4,0A,FC,FF,00,00,82,01
000000A7,00,00,00,00,00,00,00,00
000000AA,00,0C,09,00,00,F0,C0,00
000000AB,00,00,00,00,00,00,00,00
00000401,00,00,00,00,00,00,00,00
000000A5,E2,0A,FD,FF,00,00,F7,01
000000A7,00,00,00,00,FF,FF,00,00
000000AA,07,0C,01,00,00,F0,C0,90
000000AB,01,00,00,00,00,01,00,00
000000A5,E4,0A,FE,FF,00,00,4C,02
000000A7,00,00,00,00,00,00,00,00
000000AA,07,0C,01,00,00,F0,C0,00
000000AB,01,00,00,00,00,01,00,00
00000401,00,00,00,00,00,00,00,00
000000A5,E2,0A,FF,FF,00,00,8A,02
000000A7,00,00,00,00,00,00,00,00
000000AA,07,0C,01,00,00,F0,C0,00
000000AB,01,00,00,00,00,01,00,00
000000A5,E2,0A,FF,FF,00,00,B7,02
000000A7,00,00,00,00,00,00,00,00
000000AA,07,0C,01,08,00,F0,C0,00
000000AB,01,00,00,00,00,01,00,00
00000401,00,00,00,00,00,00,00,00
000000A5,E2,0A,00,00,00,00,D8,02
000000A7,01,00,00,00,00,00,00,00
000000AA,07,0C,01,08,00,F0,C0,00
000000AB,01,00,00,00,00,01,00,00
00000766,00,00,64,64,64,05,00,00
000000C0,00,00,00,00,01,02,00,00
000000C1,14,00,01,00,00,00,00,00
000000C2,14,00,00,00,FF,FF,00,00
000000A5,E2,0A,00,00,00,00,EF,02
000000A7,00,00,00,00,FF,FF,00,00
000000AA,07,0C,01,00,00,F0,C0,00
000000AB,00,00,00,00,00,01,00,00
00000766,00,00,A4,B8,00,00,00,00
000000C0,00,00,00,00,01,02,00,00
000000C1,14,00,01,00,00,00,00,00
000000C2,14,00,00,00,FF,FF,00,00
00000766,00,00,00,00,00,00,00,00
000000C0,00,00,00,00,01,02,00,00
000000C1,14,00,01,00,00,00,00,00
000000C2,14,00,00,00,FF,FF,00,00
00000400,00,F4,05,EA,08,28,08,97
00000401,00,00,00,00,00,00,00,00
00000766,00,00,00,00,00,00,00,00
000000C0,00,00,00,00,01,02,00,00
000000C1,14,00,01,00,00,00,00,00
000000A5,E2,0A,00,00,00,00,01,03
000000A7,00,00,00,00,01,00,00,00
000000AA,07,0C,01,00,00,10,C0,00
000000AB,00,00,00,00,00,01,00,00
00000766,00,00,64,00,00,00,00,00
000000C0,00,00,00,00,01,02,00,00
000000C1,14,00,01,00,00,00,00,00
000000C2,14,00,00,00,FF,FF,00,00
000000C2,14,00,00,00,FF,FF,00,00
00000766,00,00,00,00,00,00,00,00
000000C0,00,00,00,00,01,02,00,00
000000C1,14,00,01,00,00,00,00,00
000000C2,14,00,00,00,FF,FF,00,00
00000766,00,00,00,32,00,00,00,00
000000C0,00,00,00,00,01,02,00,00
000000C1,14,00,01,00,00,00,00,00
000000C2,14,00,00,00,FF,FF,00,00
00000766,00,00,00,32,64,00,00,00
000000C0,00,00,00,00,01,02,00,00
000000C1,14,00,01,00,00,00,00,00
000000C2,14,00,00,00,FF,FF,00,00
000000A5,E2,0A,00,00,00,00,0D,03
000000A7,00,00,00,00,00,00,00,00
000000AA,07,0C,01,00,00,10,C0,00
000000AB,00,00,00,00,00,01,00,00
00000766,00,00,00,32,64,00,00,00
000000C0,00,00,00,00,01,02,00,00
000000C1,14,00,01,00,00,00,00,00
00000766,00,00,4B,32,64,00,00,00
000000C0,00,00,00,00,01,02,00,00
000000C1,14,00,01,00,00,00,00,00
000000C2,14,00,00,00,FF,FF,00,00
000000C2,14,00,00,00,FF,FF,00,00
00000401,00,00,00,00,00,00,00,00
00000766,00,00,32,32,00,00,00,00
000000C0,00,00,00,00,01,02,00,00
000000C1,14,00,01,00,00,00,00,00
000000C2,14,00,00,00,FF,FF,00,00
000000A5,E2,0A,00,00,00,00,16,03
