Time (s),Motor Temps
1.06,43.2
2.05,42.8
66.58,40.0
67.56,39.8
68.57,40.0
69.59,40.3
70.56,40.0
71.58,39.9
72.6,40.0
73.58,39.9
74.6,39.5
75.58,39.8
76.58,39.9
77.6,39.6
78.58,39.9
79.6,40.0
80.58,39.8
81.6,40.3
82.62,40.0
83.6,39.8
84.62,40.0
85.6,39.9
86.61,40.0
87.59,40.0
88.61,40.0
89.62,39.8
90.61,40.3
91.62,39.9
92.6,39.9
93.62,39.9
94.63,39.6
95.61,39.2
96.63,39.9
97.61,39.2
98.62,39.2
99.64,40.0
100.62,39.8
101.64,39.6
102.62,39.9
103.64,39.8
104.62,39.8
105.64,40.0
106.65,39.9
107.63,39.9
108.65,39.8
109.63,39.9
110.65,39.9
111.66,40.0
112.64,39.9
113.66,39.9
114.64,39.9
115.65,39.8
116.67,39.4
117.65,39.8
118.67,40.0
119.65,39.5
120.66,39.9
121.68,39.6
122.66,39.5
123.67,39.9
124.61,39.0
125.67,39.8
126.65,39.2
127.67,40.0
128.69,39.6
129.67,39.9
130.68,39.6
131.66,39.8
132.67,40.3
133.69,40.0
134.67,39.8
135.69,39.9
136.67,39.9
137.69,39.8
138.7,39.9
139.68,39.8
140.69,39.8
141.71,39.9
142.68,39.2
143.7,39.9
144.71,39.6
145.69,39.5
146.71,39.6
147.69,40.0
148.72,39.9
149.69,39.1
150.71,39.8
151.72,39.9
152.69,39.9
153.71,39.8
154.73,39.9
155.71,39.6
156.72,39.9
157.71,39.8
158.72,39.5
159.7,40.0
160.72,39.1
161.73,38.5
162.71,37.7
163.73,37.3
164.71,36.8
165.74,36.5
166.73,36.5
167.73,36.6
168.75,36.6
169.72,36.6
170.71,36.5
171.71,36.8
172.75,35.8
173.75,36.5
174.75,36.8
175.75,36.0
176.75,35.8
177.74,36.4
178.73,36.4
179.72,36.4
180.77,35.3
181.77,36.1
182.77,35.8
183.77,36.1
184.77,36.6
185.78,36.6
186.76,36.4
187.77,36.5
188.77,36.6
189.75,36.5
190.75,36.5
191.75,36.4
192.76,35.2
193.76,36.0
194.76,36.9
195.77,36.4
196.79,35.6
197.77,36.8
198.76,36.1
199.8,36.0
200.79,35.8
201.79,35.8
202.77,37.1
203.8,36.6
204.8,37.0
205.8,36.2
206.79,36.5
207.77,37.1
208.79,37.0
209.76,36.9
210.8,36.9
211.78,36.9
212.81,36.5
213.81,36.4
214.81,36.4
215.79,36.2
216.79,37.5
217.79,36.1
218.79,37.1
219.79,36.4
220.83,37.4
221.8,36.1
222.79,36.0
223.82,36.8
224.8,37.1
225.79,37.4
226.79,37.1
227.8,37.1
228.84,37.3
229.83,37.3
230.83,36.6
231.8,36.6
232.84,37.4
233.83,37.7
234.82,37.3
235.83,37.0
236.81,37.0
237.84,36.6
238.81,35.6
239.85,37.3
240.82,37.9
241.86,37.3
242.84,37.0
243.83,37.5
244.82,36.9
245.82,37.4
246.82,37.1
247.84,37.0
248.83,37.5
249.86,37.7
250.86,37.8
251.86,37.7
252.85,37.9
253.88,37.1
254.87,37.8
255.87,37.4
256.87,37.7
257.87,37.0
258.85,37.8
259.87,37.5
260.84,37.4
261.89,37.5
262.86,37.5
263.83,37.7
264.87,37.7
265.86,37.8
266.89,37.4
267.88,37.9
268.9,37.3
269.88,37.5
270.9,37.5
271.88,37.5
272.87,37.3
273.89,37.4
274.91,37.3
275.9,37.5
276.91,37.4
277.87,37.5
278.9,37.7
279.88,37.7
280.91,37.4
281.9,37.4
282.92,37.4
283.89,37.3
284.91,37.3
285.93,37.8
286.9,37.4
287.92,37.9
288.9,37.7
289.92,37.7
290.9,37.7
291.92,37.5
292.89,38.1
293.89,38.2
294.89,37.9
295.94,37.8
296.94,38.2
297.94,37.8
298.94,38.3
299.94,38.3
300.94,38.1
301.94,38.2
302.95,38.2
303.95,37.9
304.95,38.1
305.95,38.1
306.95,38.1
307.95,38.2
308.95,38.3
309.95,38.1
310.95,38.5
311.95,38.1
312.9,38.3
313.95,38.2
314.95,37.8
315.95,38.2
316.95,38.2
317.95,38.7
318.95,38.3
319.95,38.5
320.95,38.1
321.95,38.7
322.95,38.3
323.95,38.3
324.96,38.1
325.96,38.5
326.96,38.3
327.96,38.5
328.96,38.5
329.96,38.5
330.96,38.5
331.96,38.5
332.96,38.2
333.96,38.3
334.96,38.3
335.96,38.5
336.96,38.3
337.96,38.7
338.98,38.3
339.98,38.1
340.98,38.6
341.98,38.3
342.98,38.5
343.98,38.2
344.99,38.6
345.98,38.3
346.98,38.6
347.98,38.5
348.98,38.3
349.98,38.5
350.98,38.5
351.98,38.3
352.98,38.5
354.03,38.2
355.03,38.5
356.03,38.2
357.03,38.3
358.03,38.2
359.03,38.2
360.03,38.2
361.03,38.6
362.03,38.2
363.03,38.1
364.03,38.5
365.03,38.5
366.03,38.6
367.03,38.5
368.03,38.6
368.98,38.5
370.03,38.6
371.03,38.3
372.03,38.6
373.03,38.3
374.03,38.6
375.03,38.6
376.03,38.5
377.03,38.5
378.03,38.3
379.03,38.3
380.03,38.5
380.98,38.5
382.03,38.3
383.03,38.5
384.03,38.1
385.03,38.2
386.08,38.3
387.03,37.9
388.08,37.9
389.08,38.5
390.08,38.6
391.08,38.6
392.08,38.3
393.08,38.7
394.08,38.6
395.08,38.5
396.08,38.5
397.08,38.5
398.08,38.2
399.08,38.5
400.08,38.5
401.08,38.5
402.08,38.5
403.08,38.3
404.08,38.2
405.08,38.3
406.08,38.1
407.08,37.9
408.08,38.3
409.03,38.2
410.08,38.1
411.08,37.9
412.08,38.5
413.09,38.5
414.09,38.5
415.08,38.2
416.09,38.3
417.13,38.6
418.13,38.3
419.13,38.3
420.1,37.9
421.11,37.7
422.13,37.1
423.1,37.3
424.12,36.9
425.14,36.9
426.11,37.1
427.12,36.5
428.14,36.8
429.15,36.4
430.11,36.9
431.11,37.0
432.12,36.8
433.14,36.5
434.16,36.8
435.12,36.5
436.14,36.9
437.16,36.9
438.13,36.4
439.15,36.8
440.16,37.1
441.13,36.6
442.15,37.0
443.17,36.0
444.13,36.6
445.15,36.8
446.16,36.5
447.18,36.9
448.14,36.4
449.16,36.4
450.13,36.4
451.15,37.5
452.17,37.8
453.19,36.0
454.19,37.8
455.19,36.2
456.16,37.7
457.18,37.5
458.15,37.4
459.17,37.1
460.17,37.0
461.17,37.4
462.18,36.9
463.18,37.3
464.18,37.3
465.19,37.9
466.2,37.8
467.17,36.9
468.19,36.8
469.21,38.2
470.19,36.4
471.21,37.3
472.18,38.3
473.18,38.9
474.18,37.8
475.2,39.1
476.21,39.4
477.18,38.5
478.2,38.1
479.22,37.1
480.2,36.9
481.18,39.8
482.19,39.9
483.19,38.6
484.19,40.0
485.19,40.4
486.19,40.0
487.21,40.7
488.24,41.4
489.24,39.5
490.2,39.4
491.21,41.0
492.23,40.3
493.2,40.8
494.22,39.9
495.24,39.8
496.21,39.9
497.26,40.0
498.21,40.6
499.23,40.3
500.25,42.0
501.22,41.1
502.24,41.9
503.26,40.0
504.22,41.5
505.23,40.4
506.23,40.0
507.23,41.1
508.24,40.8
509.25,41.0
510.23,41.4
511.24,41.0
512.27,42.1
513.25,41.2
514.27,42.0
515.27,40.7
516.27,41.8
517.27,41.8
518.28,41.6
519.25,41.0
520.27,42.8
521.29,40.7
522.26,41.6
523.29,41.0
524.26,41.2
525.28,42.9
526.28,43.1
527.28,43.5
528.29,43.1
529.26,43.1
530.28,42.7
531.3,42.9
532.3,42.8
533.31,43.1
534.27,43.5
535.29,43.7
536.32,44.4
537.29,44.7
538.3,44.4
539.3,44.4
540.31,43.6
541.28,42.7
542.3,43.9
543.33,42.8
544.29,43.3
545.31,43.2
546.28,43.9
547.29,44.9
548.29,43.3
549.29,44.7
550.3,44.1
551.31,44.4
552.33,43.9
553.3,43.6
554.32,45.2
555.3,42.1
556.34,42.5
557.35,44.4
558.35,44.7
559.35,43.6
560.32,45.1
561.35,43.6
562.33,44.4
563.35,45.1
564.34,43.7
565.32,43.2
566.35,43.3
567.36,44.4
568.32,46.0
569.33,44.3
570.34,44.4
571.35,45.1
572.33,46.0
573.34,44.5
574.37,44.4
575.34,44.9
576.34,44.3
577.36,46.1
578.35,44.9
579.34,44.0
580.35,46.8
581.36,45.1
582.37,46.1
583.39,45.2
584.36,44.7
585.39,46.2
586.37,46.2
587.39,45.2
588.36,45.9
589.37,46.6
590.37,46.0
591.37,45.6
592.39,46.1
593.36,45.7
594.38,45.2
595.36,45.2
596.39,44.7
597.37,48.4
598.4,47.8
599.4,46.1
600.41,46.1
601.38,47.2
602.4,47.0
603.37,47.0
604.39,46.6
605.42,48.6
606.4,46.5
607.41,46.8
608.42,46.9
609.42,47.3
610.42,47.2
611.42,48.8
612.39,48.6
613.41,48.8
614.43,47.3
615.43,47.4
616.4,48.1
617.43,48.9
618.4,48.8
619.43,47.7
620.4,48.0
621.4,49.2
622.42,48.8
623.4,48.0
624.42,48.6
625.44,48.8
626.41,49.4
627.43,49.4
628.45,47.7
629.42,49.0
630.41,48.5
631.46,48.0
632.43,48.5
633.45,48.2
634.43,48.6
635.45,48.1
636.43,48.2
637.46,49.8
638.46,49.7
639.46,50.2
640.43,49.2
641.46,50.2
642.44,49.7
643.47,49.3
644.44,51.0
645.48,51.0
646.46,50.0
647.48,50.0
648.48,49.8
649.45,50.9
650.46,49.7
651.48,50.5
652.46,49.8
653.49,50.9
654.46,50.9
655.48,49.8
656.46,50.5
657.49,50.6
658.46,50.9
659.49,51.7
660.5,50.0
661.51,51.2
662.46,51.3
663.48,50.8
664.5,51.7
665.5,50.1
666.47,50.1
667.48,51.2
668.49,50.1
669.49,51.2
670.49,51.2
671.5,50.9
672.51,51.0
673.48,51.0
674.5,50.0
675.47,50.5
676.52,51.8
677.5,50.4
678.51,51.8
679.52,51.7
680.5,51.6
681.52,50.6
682.54,51.8
683.51,52.4
684.49,52.2
685.52,52.0
686.51,51.2
687.53,53.2
688.53,52.6
689.54,51.8
690.54,52.6
691.51,51.4
692.53,51.7
693.54,51.7
694.55,52.0
695.51,52.2
696.53,52.4
697.55,53.2
698.52,53.3
699.54,53.4
700.55,53.4
701.55,52.1
702.56,52.1
703.53,53.3
704.55,51.8
705.57,51.3
706.54,51.4
707.56,53.6
708.58,53.3
709.58,53.3
710.58,52.2
711.58,52.1
712.55,52.2
713.57,52.0
714.54,51.4
715.57,52.5
716.59,52.9
717.59,51.4
718.55,52.6
719.56,53.3
720.57,52.1
721.59,52.1
722.56,53.3
723.58,53.4
724.6,50.6
725.57,53.8
726.56,51.8
727.57,52.2
728.58,52.2
729.59,53.7
730.6,53.8
731.61,54.0
732.58,53.7
733.6,53.6
734.61,53.2
735.58,52.8
736.59,53.7
737.62,53.0
738.58,54.1
739.61,54.5
740.58,54.1
741.6,53.7
742.61,54.5
743.63,53.7
744.6,53.6
745.62,54.0
746.59,53.4
747.6,52.4
748.61,54.4
749.61,54.0
750.62,52.9
751.64,52.9
752.61,53.8
753.63,52.4
754.61,52.0
755.65,55.5
756.63,52.9
757.64,54.9
758.65,54.8
759.62,54.9
760.64,54.9
761.66,53.3
762.63,52.9
763.66,54.9
764.64,56.1
765.65,54.1
766.65,54.9
767.66,55.5
768.66,55.5
769.66,54.9
770.66,54.1
771.65,54.4
772.66,54.8
773.66,54.9
774.66,54.0
775.66,54.7
776.66,54.8
777.66,54.5
778.66,54.8
779.66,54.7
780.66,54.1
781.66,54.1
782.66,54.4
783.66,54.0
784.66,54.4
785.66,54.4
786.68,53.8
787.7,53.6
788.67,53.3
789.69,54.0
790.71,53.7
791.67,53.6
792.68,53.8
793.68,53.7
794.68,53.2
795.68,53.0
796.71,53.3
797.68,53.4
798.69,53.3
799.69,53.3
800.71,53.2
801.71,53.4
802.72,53.2
803.72,53.4
804.71,52.9
805.71,52.6
806.71,52.6
807.71,52.6
808.71,52.4
809.71,52.5
810.71,52.2
811.71,52.4
812.71,52.4
813.72,52.5
814.74,52.2
815.7,52.2
816.75,52.1
817.75,52.2
818.75,52.2
819.75,52.2
820.75,51.7
821.75,52.1
822.75,52.0
823.75,51.6
824.75,52.0
825.75,51.8
826.75,51.8
827.75,52.0
828.75,51.6
829.75,52.0
830.75,51.4
831.75,51.7
832.75,51.4
833.75,51.0
834.75,51.2
835.75,50.9
836.75,51.4
837.75,51.2
838.75,51.3
839.75,50.9
840.75,51.4
841.75,51.2
842.75,51.4
843.75,51.2
844.75,51.0
845.75,51.3
846.75,51.0
847.75,51.0
848.75,50.9
849.75,50.8
850.75,50.9
851.75,50.9
852.75,50.8
853.8,50.1
854.8,50.8
855.8,50.5
856.8,50.4
857.8,50.9
858.8,50.1
859.8,50.5
860.8,50.6
861.8,50.6
862.8,50.6
863.81,50.6
864.81,50.2
865.81,50.4
866.81,50.5
867.81,50.5
868.82,50.4
869.82,50.4
870.82,50.1
871.82,50.1
872.83,50.1
873.83,50.1
874.83,50.0
875.83,50.0
876.83,50.0
877.83,50.1
878.83,49.7
879.84,49.2
880.83,49.7
881.83,49.3
882.83,49.7
883.83,49.4
884.84,49.8
885.84,49.4
886.83,49.8
887.84,49.7
888.83,49.8
889.83,49.7
890.83,49.3
891.83,49.4
892.83,49.8
893.83,49.7
894.83,49.4
895.83,49.0
896.83,49.4
897.84,49.2
898.83,48.9
899.83,49.0
900.84,49.0
901.83,49.0
902.84,49.0
903.83,48.9
904.83,49.0
905.88,48.8
906.88,48.9
907.88,48.8
908.88,48.9
909.88,49.2
910.88,48.6
911.88,48.9
912.88,48.6
913.88,49.0
914.88,48.8
915.88,49.0
916.88,48.6
917.88,49.0
918.84,48.5
919.89,48.6
920.89,48.6
921.89,48.5
922.88,48.5
923.89,48.5
924.89,48.4
925.88,48.5
926.9,48.6
927.91,48.2
928.88,48.2
929.91,48.8
930.88,48.9
931.9,48.1
932.92,47.7
933.88,47.8
934.88,49.2
935.9,47.7
936.92,48.5
937.89,48.6
938.91,48.4
939.92,47.8
940.93,48.1
941.9,48.8
942.92,48.2
943.89,48.6
944.91,48.9
945.94,49.3
946.91,49.0
947.92,49.0
948.93,49.3
949.95,47.7
950.92,48.6
951.94,48.8
952.91,49.3
953.93,48.1
954.95,48.1
955.91,48.5
956.96,49.0
957.96,48.1
958.93,48.1
959.95,48.6
960.97,48.4
961.94,49.3
962.93,48.8
963.95,48.1
964.96,49.2
965.97,48.8
966.94,47.8
967.96,48.4
968.93,49.4
969.96,48.8
970.98,50.4
971.97,49.4
972.95,50.0
973.97,48.5
974.98,48.9
975.95,50.0
976.97,49.4
977.99,49.3
978.96,48.8
979.98,50.0
980.96,48.6
981.98,49.8
982.95,49.2
983.97,48.8
985.0,50.0
985.99,49.0
986.97,49.2
987.98,49.7
989.01,50.8
989.99,50.5
991.01,50.6
991.98,50.8
993.0,49.2
993.98,50.8
994.99,50.1
996.0,50.5
997.0,50.1
998.02,50.1
998.99,49.2
1000.02,49.3
1000.99,50.1
1002.03,50.4
1003.02,49.3
1004.03,50.4
1005.0,49.7
1006.03,51.0
1007.01,50.1
1008.03,50.9
1009.0,50.5
1010.02,48.8
1011.01,52.4
1012.0,51.3
1013.0,50.2
1014.0,52.0
1015.01,50.9
1016.02,51.0
1017.04,50.4
1018.01,51.0
1019.02,50.0
1020.04,51.4
1021.06,51.6
1022.03,52.0
1023.05,49.7
1024.04,50.0
1025.02,50.4
1026.03,51.6
1027.05,52.4
1028.02,52.4
1029.04,52.1
1029.86,52.2
1029.86,51.4
1032.04,52.1
1033.05,51.2
1034.05,52.0
1035.06,51.0
1036.08,51.3
1037.05,51.4
1038.07,52.4
1038.89,50.5
1040.08,52.6
1041.05,51.3
1042.05,52.6
1043.07,52.5
1044.04,51.8
1045.07,52.9
1046.09,51.0
1047.06,52.6
1048.09,50.6
1049.08,51.8
1050.1,52.6
1051.1,52.1
1052.1,53.4
1053.07,52.9
1054.09,52.6
1055.11,52.8
1056.08,52.5
1057.09,53.2
1058.11,52.2
1059.08,53.4
1060.1,52.1
1061.07,54.0
1062.11,51.4
1063.12,53.3
1064.12,52.1
1065.1,52.5
1066.12,52.0
1067.09,52.5
1068.11,52.0
1069.12,52.2
1070.13,53.0
1071.13,52.8
1072.13,52.8
1073.1,53.0
1074.11,53.2
1075.13,52.5
1076.1,51.8
1077.12,52.0
1078.11,51.0
1079.14,54.1
1080.14,52.5
1081.11,53.2
1082.13,52.6
1083.11,54.0
1084.13,52.5
1085.15,53.3
1086.12,52.4
1087.11,52.8
1088.12,53.6
1089.12,54.9
1090.14,54.8
1091.14,53.0
1092.16,53.4
1093.13,54.1
