Time (s),Inlet Water Temp (C),Outlet Water Temp (C),Inlet Air Temp (C),Outlet Air Temp (C)
0.0,72.6,75.2,74.41,74.38
1.11,72.2,76.0,74.41,74.52
1.65,72.1,75.8,74.41,74.52
2.24,72.9,75.9,74.41,74.52
2.28,82.8,82.4,74.59,74.59
66.63,82.5,82.5,74.59,74.59
67.21,82.8,81.3,74.59,74.55
67.76,82.7,83.5,74.66,74.52
68.33,82.6,82.0,74.69,74.59
68.88,82.3,82.5,74.73,74.55
69.43,82.5,82.8,74.76,74.52
70.02,82.9,82.6,74.76,74.55
70.56,81.8,82.1,74.76,74.55
71.11,82.8,82.1,74.76,74.52
71.7,81.7,82.2,74.76,74.55
72.25,81.8,82.6,74.76,74.52
72.8,82.0,83.0,74.76,74.48
73.38,81.4,81.8,74.73,74.55
73.93,84.2,84.8,74.66,74.59
74.48,81.3,82.0,74.69,74.52
75.07,82.4,82.8,74.69,74.48
75.61,81.8,82.9,74.69,74.48
76.16,82.1,81.5,74.73,74.52
76.74,82.5,81.7,74.76,74.52
77.29,82.3,81.6,74.76,74.52
77.88,82.1,81.6,74.76,74.52
78.43,82.1,83.1,74.73,74.48
78.97,83.5,82.0,74.76,74.48
79.52,82.9,81.9,74.76,74.48
80.11,82.7,82.1,74.69,74.45
80.66,83.1,82.0,74.66,74.41
81.21,83.1,82.5,74.66,74.41
81.8,82.9,81.7,74.62,74.41
82.35,83.0,83.0,74.59,74.38
82.89,82.5,82.4,74.62,74.38
83.48,82.5,82.7,74.55,74.38
84.03,81.5,81.8,74.55,74.38
84.58,82.5,82.4,74.52,74.41
85.16,82.5,82.3,74.52,74.35
85.71,83.5,81.2,74.52,74.31
86.26,81.9,81.4,74.48,74.28
86.85,83.0,81.9,74.45,74.28
87.4,82.8,81.8,74.45,74.28
87.94,82.6,82.2,74.41,74.35
88.53,82.5,82.3,74.41,74.31
89.08,82.8,82.0,74.38,74.31
89.62,82.3,82.4,74.41,74.31
90.21,82.5,82.0,74.38,74.28
90.76,83.7,82.5,74.41,74.31
91.31,82.4,81.9,74.41,74.31
91.9,82.4,82.1,74.41,74.28
92.44,81.8,82.5,74.41,74.28
92.99,82.1,82.6,74.41,74.28
93.58,82.3,82.2,74.38,74.31
94.12,83.9,83.1,74.41,74.35
94.67,82.7,82.2,74.38,74.35
95.26,82.7,81.4,74.41,74.35
95.81,82.6,82.0,74.38,74.35
96.36,82.8,82.1,74.41,74.31
96.94,81.6,81.5,74.41,74.31
97.49,82.3,81.5,74.38,74.31
98.04,83.5,82.2,74.41,74.28
98.62,82.9,82.0,74.41,74.28
99.17,83.4,82.5,74.41,74.31
99.72,83.3,81.0,74.41,74.38
100.31,82.1,81.8,74.41,74.41
100.85,82.3,83.0,74.41,74.38
101.4,82.5,82.5,74.41,74.38
101.99,82.7,82.5,74.45,74.31
102.54,82.4,82.6,74.41,74.31
103.09,82.5,82.4,74.38,74.31
103.68,83.2,82.2,74.38,74.31
104.22,80.6,82.0,74.38,74.31
104.77,83.4,82.4,74.41,74.31
105.36,82.9,82.4,74.41,74.35
105.91,82.4,82.1,74.41,74.35
106.46,83.2,81.8,74.38,74.38
107.04,81.6,81.6,74.38,74.38
107.59,81.9,82.1,74.38,74.35
108.14,82.0,81.9,74.41,74.38
108.73,82.2,81.2,74.38,74.38
109.28,82.3,81.3,74.38,74.41
109.83,82.7,82.9,74.41,74.41
110.41,83.0,82.5,74.41,74.48
110.96,82.0,82.0,74.41,74.55
111.51,81.7,82.1,74.48,74.52
112.09,82.7,82.8,74.48,74.55
112.64,82.7,82.5,74.52,74.59
113.19,81.7,82.5,74.59,74.59
113.78,82.8,82.8,74.59,74.62
114.32,82.7,82.5,74.62,74.66
114.87,83.0,82.9,74.69,74.59
115.46,82.4,82.0,74.66,74.59
116.01,82.8,82.8,74.73,74.52
116.55,82.2,83.2,74.73,74.52
117.14,82.1,82.2,74.73,74.48
117.69,82.9,82.0,74.76,74.48
118.24,83.4,82.3,74.76,74.52
118.82,82.9,82.5,74.8,74.59
119.37,82.8,83.0,74.76,74.59
119.92,82.2,84.4,74.76,74.62
120.51,83.5,82.4,74.8,74.66
121.05,82.5,82.9,74.76,74.52
121.6,82.0,81.9,74.8,74.55
122.19,82.5,82.8,74.76,74.55
122.73,82.8,83.0,74.73,74.59
123.28,82.5,82.6,74.76,74.59
123.87,81.5,82.9,74.73,74.55
124.42,82.3,81.4,74.73,74.55
124.97,82.4,81.9,74.73,74.62
125.55,81.9,82.4,74.73,74.59
126.1,82.5,82.1,74.73,74.59
126.65,81.7,81.7,74.69,74.59
127.24,82.0,82.5,74.66,74.59
127.79,82.5,82.2,74.62,74.59
128.33,82.3,83.0,74.62,74.59
128.92,83.8,82.2,74.59,74.59
129.47,82.8,81.9,74.62,74.59
