1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
49.03,284.61
49.17,0
49.32,663.698
49.41,900.733
49.52,758.512
49.63,1943.687
49.78,0
49.89,7154.682
50.09,5401.548
50.23,6112.278
50.37,0
50.52,8959.046
50.74,10835.286
50.84,11914.124
50.96,12242.466
51.15,0
51.28,14169.44
51.38,13936.39
51.5,14402.49
51.66,0
51.78,14964.912
51.96,16350.552
52.06,16581.492
52.12,15519.168
52.29,0
52.45,16350.724
52.58,16488.511
52.71,17866.381
52.95,0
53.05,16190.19
53.21,14909.61
53.36,14589.465
53.45,15504.165
53.57,16739.01
53.7,16190.19
53.84,16418.865
53.98,17562.24
54.07,14132.115
54.25,0
54.35,15729.744
54.5,8733.666
54.6,2835.012
54.75,0
54.91,684.915
55,410.949
55.16,456.61
55.27,547.932
55.35,0
55.54,706.425
55.66,282.57
55.75,282.57
55.86,235.475
55.96,0
56.08,424.728
56.23,471.92
56.32,566.304
56.47,283.152
56.63,566.304
56.74,424.728
56.91,566.304
57,283.152
57.14,0
57.28,47.197
57.4,0
57.5,283.182
57.66,0
57.84,0
57.94,94.414
58.03,188.828
58.15,283.242
58.28,0
58.44,519.365
58.56,1227.59
58.64,188.86
58.8,1369.235
58.92,0
59.12,4198.575
59.23,4764.675
59.33,4764.675
59.42,0
59.57,1688.292
59.69,3939.348
59.83,8019.387
59.93,7691.108
60.06,7550.417
60.18,0
60.29,4657.851
60.41,5457.684
60.55,5363.586
60.71,7104.399
60.84,0
60.94,6594.006
61.06,6126.346
61.2,6126.346
61.35,5565.154
61.45,0
61.57,3772.737
61.73,5076.893
61.84,6707.088
61.95,5170.047
62.08,0
62.2,8408.174
62.4,7014.554
62.52,6921.646
62.63,3484.05
62.74,1021.988
62.85,278.724
62.99,650.356
63.1,4598.946
63.21,0
63.34,3588.872
63.46,5713.862
63.62,5147.198
63.73,4533.312
63.85,0
