Time (s),MC Inlet,MC Outlet,Motor Inlet,Motor Outlet
15594.23,22,22,27,29
15718.46,22,22,27,29
15843.18,22,22,27,29
15968.39,22,22,27,29
16094.1,22,22,24,29
16220.3,22,22,27,29
16346.99,22,22,27,29
16474.18,22,22,27,29
16601.86,22,22,27,29
16730.04,22,22,27,29
16858.7,22,22,27,29
16987.85,22,22,27,29
17117.5,22,22,27,29
17247.64,22,22,27,29
17378.27,22,22,27,29
17509.39,22,22,27,29
17641.01,22,22,27,30
17773.12,22,22,27,30
17905.73,22,23,27,30
18038.83,22,23,27,30
18172.42,22,23,27,30
18306.5,22,23,27,30
18441.09,22,23,27,30
18576.18,22,23,28,30
18711.75,22,23,27,30
18847.81,22,23,27,30
18984.37,23,23,27,30
19121.42,22,23,27,30
19258.97,22,23,27,30
19397.0,22,23,27,30
19535.52,22,23,27,30
19674.53,22,23,27,30
19814.04,22,23,27,30
19954.04,22,23,27,30
20094.54,22,23,27,30
20235.53,22,23,27,30
20377.01,22,23,27,30
20518.99,22,23,27,30
20661.46,22,23,27,30
20804.42,22,23,27,30
20947.88,22,23,27,30
21091.83,24,23,27,30
21236.27,22,23,27,30
21381.21,22,23,27,30
21526.64,23,23,27,30
21672.56,22,23,27,30
21818.97,22,23,27,30
21965.89,23,23,27,30
22113.29,22,23,27,30
22261.18,22,23,27,30
22409.57,22,23,27,30
22558.46,22,23,27,30
22707.84,22,23,27,30
22857.7,23,23,27,30
23008.06,22,23,27,30
23158.91,22,22,27,30
23310.26,22,23,27,30
23462.1,22,23,27,30
23614.43,22,23,27,30
23767.26,22,23,27,30
23920.58,23,23,27,31
24074.4,22,23,27,31
24228.71,22,23,28,31
24383.51,22,23,28,31
24538.81,22,23,28,31
24694.61,23,23,28,31
24850.89,23,23,29,31
25007.67,22,23,28,31
25164.95,23,23,28,31
25322.7,23,23,28,31
25480.95,23,23,28,31
25639.7,23,23,27,31
25798.94,23,23,28,31
25958.67,23,23,28,31
26118.9,23,23,28,31
26279.61,23,23,28,31
26440.82,23,23,28,31
26602.52,23,23,28,31
26764.72,23,23,28,31
26927.41,23,23,28,31
27090.61,23,23,28,31
27254.29,23,23,28,31
27418.46,23,23,28,31
27583.12,23,23,28,31
27748.27,23,23,28,31
27913.92,22,23,28,31
28080.06,23,23,28,31
28246.7,23,23,28,31
28413.83,23,23,28,31
28581.45,23,23,28,31
28749.56,23,23,28,31
28918.16,23,23,28,31
29087.26,23,23,28,31
29256.85,23,23,28,31
29426.93,23,23,28,31
29597.51,23,23,28,31
29768.59,23,23,28,31
29940.15,23,23,28,31
30112.2,23,23,28,31
30284.75,23,23,28,31
30457.79,23,23,28,31
30631.33,23,23,28,31
30805.36,23,23,28,31
30979.88,23,23,28,31
31154.9,23,23,28,31
31330.42,23,23,28,31
31506.42,23,23,28,31
31682.92,23,23,28,31
31859.91,23,23,29,31
32037.39,23,23,29,31
32215.37,23,23,29,31
32393.84,23,23,29,32
32572.81,23,23,29,32
32752.26,23,23,29,32
32932.21,23,23,29,32
33112.65,23,23,29,32
33293.58,23,23,29,32
33475.02,23,23,29,32
33656.95,23,23,29,32
33839.36,23,23,29,32
34022.27,23,23,29,32
