Time (s),MC Inlet,MC Outlet,Motor Inlet,Motor Outlet
131.12,22,22,27,29
131.62,22,22,27,30
132.11,22,22,27,30
132.61,22,23,27,30
133.1,22,23,27,30
133.59,22,23,27,30
134.08,22,23,27,30
134.59,22,23,27,30
135.09,22,23,28,30
135.57,22,23,27,30
136.06,22,23,27,30
136.56,23,23,27,30
137.05,22,23,27,30
137.55,22,23,27,30
138.03,22,23,27,30
138.52,22,23,27,30
139.01,22,23,27,30
139.51,22,23,27,30
140.0,22,23,27,30
140.5,22,23,27,30
140.99,22,23,27,30
141.48,22,23,27,30
141.98,22,23,27,30
142.47,22,23,27,30
142.96,22,23,27,30
143.46,22,23,27,30
143.95,24,23,27,30
144.44,22,23,27,30
144.94,22,23,27,30
145.43,23,23,27,30
145.92,22,23,27,30
146.41,22,23,27,30
146.92,23,23,27,30
147.4,22,23,27,30
147.89,22,23,27,30
148.39,22,23,27,30
148.89,22,23,27,30
149.38,22,23,27,30
149.86,23,23,27,30
150.36,22,23,27,30
150.85,22,22,27,30
151.35,22,23,27,30
151.84,22,23,27,30
152.33,22,23,27,30
152.83,22,23,27,30
153.32,23,23,27,31
153.82,22,23,27,31
154.31,22,23,28,31
154.8,22,23,28,31
155.3,22,23,28,31
155.8,23,23,28,31
156.28,23,23,29,31
156.78,22,23,28,31
157.28,23,23,28,31
157.75,23,23,28,31
158.25,23,23,28,31
158.75,23,23,27,31
159.24,23,23,28,31
159.73,23,23,28,31
160.23,23,23,28,31
160.71,23,23,28,31
161.21,23,23,28,31
161.7,23,23,28,31
162.2,23,23,28,31
162.69,23,23,28,31
163.2,23,23,28,31
163.68,23,23,28,31
164.17,23,23,28,31
164.66,23,23,28,31
165.15,23,23,28,31
165.65,22,23,28,31
166.14,23,23,28,31
166.64,23,23,28,31
167.13,23,23,28,31
167.62,23,23,28,31
168.11,23,23,28,31
168.6,23,23,28,31
169.1,23,23,28,31
169.59,23,23,28,31
170.08,23,23,28,31
170.58,23,23,28,31
171.08,23,23,28,31
171.56,23,23,28,31
172.05,23,23,28,31
172.55,23,23,28,31
173.04,23,23,28,31
173.54,23,23,28,31
174.03,23,23,28,31
174.52,23,23,28,31
175.02,23,23,28,31
175.52,23,23,28,31
176.0,23,23,28,31
176.5,23,23,28,31
176.99,23,23,29,31
177.48,23,23,29,31
177.98,23,23,29,31
178.47,23,23,29,32
178.97,23,23,29,32
179.45,23,23,29,32
179.95,23,23,29,32
180.44,23,23,29,32
180.93,23,23,29,32
181.44,23,23,29,32
181.93,23,23,29,32
182.41,23,23,29,32
182.91,23,23,29,32
183.4,23,23,29,32
183.93,23,23,29,32
184.39,23,23,29,32
184.88,23,23,29,32
185.38,23,23,29,32
185.87,23,23,29,32
186.36,23,23,29,32
186.85,23,23,29,32
187.35,23,23,29,32
187.84,23,23,29,32
188.33,23,23,29,32
188.83,23,23,29,32
189.32,23,23,29,32
189.82,23,23,29,32
190.31,23,23,29,32
190.8,23,23,29,32
191.29,23,23,29,32
191.8,23,23,29,32
192.28,23,23,29,32
192.77,23,23,29,32
193.27,23,23,29,32
193.76,23,23,29,32
194.25,23,23,29,33
194.75,23,23,29,32
195.24,23,23,29,33
195.74,23,23,29,33
196.23,23,23,29,33
196.72,23,23,29,33
197.21,23,23,29,33
197.71,23,23,29,33
198.26,23,23,29,33
199.03,23,23,29,33
199.19,23,23,29,33
199.68,22,23,29,33
200.17,23,23,29,33
200.67,23,23,30,33
201.16,23,23,30,33
201.66,23,23,30,33
202.15,23,23,30,33
202.64,23,23,30,33
203.15,23,23,30,33
203.63,23,23,30,33
204.12,23,23,30,33
204.62,23,23,30,33
205.11,23,23,30,33
205.6,22,23,30,33
206.09,23,23,30,33
206.59,23,23,30,33
207.08,23,23,30,33
207.58,23,23,30,33
208.07,23,23,30,33
208.56,23,23,30,33
209.06,23,23,29,33
209.55,23,23,30,33
210.05,23,23,30,33
