Time (s),MC Temp A,MC Temp B,MC Temp C
2.0,13.3,13.3,13.3
3.0,26.7,26.7,26.7
3.95,28.7,29.1,29.0
4.95,28.8,29.1,29.0
5.95,28.7,29.1,29.0
6.9,28.8,29.1,29.0
7.9,28.7,29.1,29.0
8.9,28.8,29.1,29.0
9.85,28.8,29.1,29.0
10.85,28.8,29.1,29.0
11.85,28.8,29.1,29.0
12.8,28.8,29.1,29.0
13.8,28.8,29.1,29.0
14.75,28.8,29.2,29.0
15.75,28.8,29.3,29.2
16.75,28.3,28.8,29.0
17.7,29.5,29.6,29.0
18.7,29.9,30.3,29.7
19.7,29.5,30.0,29.8
20.65,29.1,29.5,29.7
21.65,28.7,29.2,29.4
22.65,28.7,29.2,29.4
23.6,28.8,29.3,29.4
24.6,29.0,29.5,29.6
25.55,28.9,29.4,29.4
26.55,28.9,29.3,29.3
27.55,29.2,29.6,29.5
28.5,29.6,30.0,29.8
29.5,29.9,30.4,30.3
30.5,30.0,30.5,30.5
31.45,30.0,30.5,30.6
32.45,30.0,30.5,30.6
33.45,29.9,30.4,30.5
34.4,30.0,30.5,30.6
35.4,29.6,30.1,30.3
36.4,29.4,29.8,30.0
37.35,29.3,29.8,29.8
38.35,29.5,29.8,29.8
39.3,29.7,30.1,30.0
40.3,29.6,30.1,30.1
41.3,29.8,30.3,30.2
42.25,30.1,30.6,30.5
43.25,30.6,31.0,31.0
44.25,30.1,30.7,30.8
45.2,29.8,30.4,30.5
46.2,29.7,30.1,30.2
47.2,29.8,30.2,30.2
48.15,29.8,30.2,30.2
49.15,29.9,30.3,30.3
50.1,30.4,30.8,30.8
51.1,30.3,30.9,30.9
52.1,30.3,30.8,30.9
53.05,30.3,30.8,31.0
54.05,30.6,31.2,31.2
55.05,30.9,31.5,31.6
56.0,31.1,31.8,31.8
57.0,30.8,31.4,31.6
58.0,30.6,31.1,31.4
58.95,30.4,30.9,31.1
59.95,30.1,30.6,30.8
60.9,30.3,30.7,30.8
61.9,30.3,30.8,30.8
62.9,30.4,30.9,30.9
63.85,30.7,31.2,31.2
64.85,30.6,31.1,31.2
65.85,30.4,30.9,31.0
66.8,30.6,31.0,31.1
67.8,30.5,30.9,31.0
68.8,30.5,30.9,30.9
69.75,30.4,30.9,30.9
70.75,30.5,30.9,30.9
71.7,30.8,31.2,31.3
72.7,31.5,31.9,31.9
73.7,32.0,32.7,32.7
74.65,31.8,32.5,32.8
75.65,31.2,31.8,32.3
76.65,30.7,31.3,31.5
77.6,30.7,31.1,31.3
78.6,31.1,31.6,31.6
79.6,31.6,32.2,32.4
80.55,32.0,32.6,32.7
81.55,32.0,32.6,32.8
82.5,31.3,31.9,32.2
83.5,31.4,32.0,32.2
