Time (s),Volts
18327.62,-159.44
18357.79,-159.43
18388.5,-159.44
18419.81,-159.44
18451.69,-159.44
18484.18,-159.43
18517.49,-159.44
18551.27,-159.44
18585.57,-159.44
18620.41,-159.43
18655.86,-159.43
18691.88,-159.44
18728.48,-159.44
18765.66,-159.43
18803.45,-159.43
18841.87,-159.44
18880.87,-159.44
18920.44,-159.44
18960.63,-159.44
19001.51,-159.44
19042.89,-159.44
19084.83,-159.43
19127.36,-159.43
19170.55,-159.44
19214.29,-159.44
19258.56,-159.43
19303.45,-159.43
19348.92,-159.44
19394.96,-159.44
19441.58,-159.43
19488.83,-159.43
19536.89,-159.44
19585.45,-159.44
19634.52,-159.43
19684.13,-159.43
19734.33,-159.44
19785.14,-159.44
19836.5,-159.43
19888.46,-159.43
19941.03,-159.44
19994.18,-159.44
20047.89,-159.43
20102.22,-159.43
20157.13,-159.44
20212.77,-159.44
20269.03,-159.44
20325.82,-159.44
20383.11,-159.44
20440.99,-159.44
20499.43,-159.44
20558.47,-159.43
20618.11,-159.44
20678.34,-159.44
20739.13,-159.44
20800.53,-159.43
20862.53,-159.44
20925.1,-159.44
20988.4,-159.43
21052.25,-159.44
21116.6,-159.44
21181.53,-159.44
21247.05,-159.44
21313.19,-159.44
21379.91,-159.44
21447.23,-159.44
21515.12,-159.44
21583.65,-159.44
21652.76,-159.44
21722.54,-159.44
21793.46,-159.44
21864.91,-159.44
21936.95,-159.44
22009.58,-159.44
22082.8,-159.44
22156.59,-159.44
22230.99,-159.44
22305.96,-159.44
22381.56,-159.43
22457.74,-159.44
22534.49,-159.44
22611.82,-159.44
22689.9,-159.43
22768.5,-159.44
22847.61,-159.44
22927.31,-159.44
23007.63,-159.44
23088.51,-159.45
23170.01,-159.44
23252.08,-159.44
23334.84,-159.43
23418.13,-159.45
23501.99,-159.44
23586.44,-159.44
23671.64,-159.44
23757.38,-159.45
23843.6,-159.44
23930.4,-159.44
24017.82,-159.44
24105.79,-159.45
24194.33,-159.44
24283.47,-159.44
24373.23,-159.44
24463.55,-159.45
24554.47,-159.44
24645.96,-159.44
24738.06,-159.44
24830.9,-159.44
24924.24,-159.44
25018.11,-159.44
25112.57,-159.44
25207.64,-159.45
25303.34,-159.44
25399.57,-159.44
25496.42,-159.44
25593.85,-159.45
25691.89,-159.44
25790.51,-159.44
25889.71,-159.44
25989.7,-159.45
26090.21,-159.44
26191.21,-159.44
26292.78,-159.44
26394.93,-159.45
26497.64,-159.44
26600.95,-159.44
26704.88,-159.44
26809.4,-159.45
26914.49,-159.44
27020.16,-159.44
27126.46,-159.44
27233.53,-159.45
27341.12,-159.44
27449.19,-159.44
27557.86,-159.44
27667.08,-159.45
27776.88,-159.44
27887.3,-159.44
27998.32,-159.44
28109.91,-159.45
28222.1,-159.44
28334.85,-159.44
28448.24,-159.44
28562.19,-159.45
28676.88,-159.44
28792.05,-159.44
28907.77,-159.44
29024.1,-159.45
29140.99,-159.44
29258.48,-159.44
29376.58,-159.44
29495.25,-159.45
29614.52,-159.44
29734.39,-159.44
29854.85,-159.44
29975.89,-159.45
30097.69,-159.44
30219.98,-159.44
30342.81,-159.44
30466.22,-159.45
30590.2,-159.44
30714.77,-159.44
30839.94,-159.44
30965.7,-159.45
31092.03,-159.44
31218.96,-159.44
31346.49,-159.44
31474.62,-159.45
31603.51,-159.44
31732.94,-159.44
31862.88,-159.44
31993.38,-159.45
32124.45,-159.44
32256.09,-159.44
32388.34,-159.44
32521.19,-159.45
32654.61,-159.44
32788.63,-159.44
32923.28,-159.44
33058.58,-159.45
33194.52,-159.44
33331.04,-159.44
33468.07,-159.44
33605.62,-159.45
