A0,133,0,133,0,133,0,132,0,3265850
500,0,0,0,0,0,0,0,0,3357130
A2,21,0,21,0,81,1,0,0,3364084
400,19,19,29,30,0,2,255,5,3371056
A5,126,11,0,0,0,0,144,2,3378008
401,16,17,20,18,,,,,3384978
A7,0,0,0,0,0,0,0,0,3391923
400,19,19,29,30,0,2,255,5,3398893
AA,4,12,9,0,0,16,64,1,3405842
500,0,0,0,0,0,0,0,0,3412813
AB,0,0,0,0,0,0,0,0,3419760
401,16,17,20,18,,,,,3426729
766,0,100,0,0,135,0,,,3433737
400,19,19,29,30,0,2,255,5,3440705
C0,0,0,0,0,1,2,0,0,3447693
500,0,0,0,0,0,0,0,0,3454647
A5,126,11,0,0,0,0,144,2,3461660
401,16,17,19,19,,,,,3472824
A7,0,0,0,0,0,0,0,0,3479397
400,19,19,29,30,0,2,0,4,3486403
AA,4,12,9,0,0,16,64,1,3493635
401,16,17,19,19,,,,,3500767
AB,0,0,0,0,0,0,0,0,3507993
500,0,0,0,0,0,0,0,0,3515125
387,0,0,48,255,127,87,235,39,3522356
400,19,19,29,30,0,2,0,3,3529500
766,0,100,0,0,135,0,,,3536670
401,17,17,19,19,,,,,3543811
C0,0,0,0,0,1,2,0,0,3551034
500,0,0,0,0,0,0,0,0,3558164
380,0,0,0,0,186,158,198,159,3565330
A5,126,11,0,0,0,0,145,2,3572472
A7,0,0,0,0,255,255,0,0,3579630
AA,4,12,9,0,0,16,64,1,3590867
AB,0,0,0,0,0,0,0,0,3597434
766,0,100,0,0,135,0,,,3604510
C0,0,0,0,0,1,2,0,0,3611676
A5,127,11,0,0,0,0,145,2,3618812
A7,0,0,0,0,0,0,255,255,3625969
AA,4,12,9,0,0,16,64,1,3633104
AB,0,0,0,0,0,0,0,0,3640260
387,0,0,48,255,127,87,235,39,3647395
766,0,100,0,100,135,0,,,3654566
C0,0,0,0,0,1,2,0,0,3661709
A5,126,11,0,0,0,0,145,2,3668869
A7,0,0,0,0,255,255,0,0,3676003
A5,126,11,0,0,0,0,145,2,3683163
387,0,1,56,255,127,87,235,39,3690297
766,0,25,33,50,0,0,,,3697468
C0,0,0,0,0,1,2,0,0,3704610
A5,129,11,0,0,0,0,145,2,3715852
A7,0,0,0,0,0,0,0,0,3722417
766,0,12,33,25,0,0,,,3729399
A5,128,11,0,0,0,0,145,2,3736540
A7,0,0,0,0,255,255,0,0,3743658
387,0,1,56,255,127,87,235,39,3750790
A5,126,11,0,0,0,0,145,2,3757916
A7,0,0,0,0,0,0,0,0,3765053
AA,4,12,9,0,0,16,64,1,3772166
380,24,0,0,0,186,159,198,159,3779301
A5,126,11,0,0,0,0,145,2,3786426
A7,0,0,0,0,0,0,0,0,3793562
AA,4,12,9,0,0,16,64,1,3800672
AB,0,0,0,0,0,0,0,0,3807803
C0,0,0,0,0,1,2,0,0,3814917
387,0,0,56,255,127,87,235,39,3822115
A5,127,11,0,0,0,0,145,2,3845905
A7,0,0,0,0,0,0,0,0,3852553
AA,4,12,9,0,0,16,64,1,3859549
AB,0,0,0,0,0,0,0,0,3866684
766,0,87,55,75,0,0,,,3873797
C0,0,0,0,0,1,2,0,0,3880942
A5,128,11,0,0,0,0,145,2,3888058
A7,0,0,0,0,0,0,0,0,3895196
AA,4,12,9,0,0,16,64,1,3902314
AB,0,0,0,0,0,0,0,0,3909455
766,0,37,33,50,0,0,,,3916572
C0,0,0,0,0,1,2,0,0,3923717
A5,130,11,0,0,0,0,144,2,3943968
A7,0,0,0,0,0,0,0,0,3951107
AA,4,12,9,0,0,16,64,1,3958285
400,19,19,29,30,0,2,0,3,3978566
AB,0,0,0,0,0,0,0,0,3985642
401,16,17,19,19,,,,,3996893
387,255,254,56,255,127,87,235,39,4003520
500,0,0,0,0,0,0,0,0,4010591
766,0,25,44,25,0,0,,,4017748
C0,0,0,0,0,1,2,0,0,4024945
A5,131,11,0,0,0,0,144,2,4046712
A7,0,0,0,0,0,0,0,0,4053834
AA,4,12,9,0,0,16,64,1,4060971
AB,0,0,0,0,0,0,0,0,4068092
766,0,0,44,50,0,0,,,4075233
C0,0,0,0,0,1,2,0,0,4082372
A5,126,11,0,0,0,0,144,2,4089516
A7,1,0,0,0,0,0,0,0,4096707
AA,4,12,9,0,0,16,64,1,4103845
AB,0,0,0,0,0,0,0,0,4111031
387,0,0,56,255,127,87,235,39,4118175
766,0,62,44,50,0,0,,,4129508
C0,0,0,0,0,1,2,0,0,4136129
A5,126,11,0,0,0,0,144,2,4143101
A7,0,0,0,0,0,0,0,0,4150220
AA,4,12,9,0,0,16,64,1,4157314
AB,0,0,0,0,0,0,0,0,4164428
766,0,100,33,50,0,0,,,4171590
A5,126,11,0,0,0,0,144,2,4178786
A7,0,0,0,0,0,0,0,0,4185883
AA,4,12,9,0,0,16,64,1,4193062
AB,0,0,0,0,0,0,0,0,4200160
C0,0,0,0,0,1,2,0,0,4207279
387,255,254,56,255,127,87,235,39,4214438
A5,127,11,0,0,0,0,144,2,4221572
A7,0,0,0,0,0,0,0,0,4228664
AA,4,12,9,0,0,16,64,1,4235780
AB,0,0,0,0,0,0,0,0,4242878
A5,126,11,0,0,0,0,145,2,4254085
A7,0,0,0,0,0,0,0,0,4260690
AA,4,12,9,0,0,16,64,1,4267599
766,0,33,33,100,0,0,,,4274787
C0,0,0,0,0,1,2,0,0,4281894
A0,206,0,210,0,209,0,27,1,4289017
A2,78,0,78,0,81,1,0,0,4296115
A5,127,11,0,0,0,0,145,2,4303171
A7,0,0,0,0,0,0,0,0,4310204
AA,4,12,9,0,0,16,64,1,4317320
766,0,77,44,25,0,0,,,4324483
C0,0,0,0,0,1,2,0,0,4331675
380,24,0,0,0,186,159,198,159,4338773
A5,127,11,0,0,0,0,145,2,4345907
A7,0,0,0,0,0,0,0,0,4353004
AA,4,12,9,0,0,16,64,1,4360124
766,0,88,33,50,0,0,,,4367223
C0,0,0,0,0,1,2,0,0,4378431
A5,127,11,0,0,0,0,145,2,4397591
A7,0,0,0,0,0,0,0,0,4404644
AA,4,12,9,0,0,16,64,1,4411779
AB,0,0,0,0,0,0,0,0,4418961
387,0,0,56,255,127,87,235,39,4426093
766,0,22,44,100,0,0,,,4433272
C0,0,0,0,0,1,2,0,0,4440402
A5,127,11,0,0,0,0,145,2,4447570
400,19,19,29,30,0,2,0,3,4454691
A7,0,0,0,0,255,255,0,0,4461741
401,16,17,19,19,,,,,4468866
AA,4,12,9,0,0,16,64,1,4476038
500,0,0,0,0,0,0,0,0,4483190
AB,0,0,0,0,0,0,0,0,4490302
766,0,33,22,25,0,0,,,4497437
C0,0,0,0,0,1,2,0,0,4508780
A5,127,11,0,0,0,0,145,2,4515375
A7,0,0,0,0,0,0,0,0,4522456
AA,4,12,9,0,0,16,64,1,4529618
AB,0,0,0,0,0,0,0,0,4536761
387,0,0,56,255,127,87,235,39,4543859
766,0,22,33,100,0,0,,,4550947
A5,127,11,0,0,0,0,145,2,4558051
A7,0,0,0,0,255,255,0,0,4578191
AA,4,12,9,0,0,16,64,1,4585288
AB,0,0,0,0,0,0,0,0,4592428
C0,0,0,0,0,1,2,0,0,4612605
A5,127,11,0,0,0,0,145,2,4619617
A7,0,0,0,0,0,0,0,0,4626652
AA,4,12,9,0,0,16,64,1,4633665
AB,0,0,0,0,0,0,0,0,4640699
766,0,77,44,50,0,0,,,4647712
C0,0,0,0,0,1,2,0,0,4658876
A5,128,11,0,0,0,0,145,2,4665402
A7,0,0,0,0,0,0,0,0,4672294
AA,4,12,9,0,0,16,64,1,4679329
AB,0,0,0,0,0,0,0,0,4686345
387,0,1,56,255,127,87,235,39,4693382
766,0,0,55,100,0,0,,,4700478
C0,0,0,0,0,1,2,0,0,4707588
A5,127,11,0,0,0,0,145,2,4729229
A7,0,0,0,0,0,0,0,0,4736268
AA,4,12,9,0,0,16,64,1,4743284
AB,0,0,0,0,0,0,0,0,4750385
766,0,44,44,50,0,0,,,4757468
C0,0,0,0,0,1,2,0,0,4764517
A5,129,11,0,0,0,0,145,2,4771534
A7,0,0,0,0,0,0,0,0,4778573
AA,4,12,9,0,0,16,64,1,4785588
AB,0,0,0,0,0,0,0,0,4796748
387,0,0,56,255,127,87,235,39,4803267
