Time (s),MC In,MC Out,Motor In,Motor Out
7396.31,12,12,14,12
7476.59,12,12,14,12
7557.36,12,11,14,12
7638.62,12,12,14,12
7720.36,12,12,14,12
7802.6,12,12,14,12
7885.32,12,12,14,12
7968.55,11,12,14,12
8052.27,11,12,14,12
8136.5,11,12,14,12
8221.22,11,12,14,12
8306.59,11,11,14,12
8392.27,11,12,14,12
8478.46,11,12,14,12
8565.13,11,12,14,12
8652.3,11,11,14,12
8739.97,11,11,14,12
8828.13,11,12,14,12
8916.77,11,12,13,12
9005.91,11,12,14,12
9095.54,11,12,14,12
9185.66,11,12,14,12
9276.27,11,12,14,12
9367.39,11,12,14,12
9458.99,11,12,14,12
9551.09,11,12,14,12
9643.85,11,12,14,12
9736.95,11,12,14,12
9830.52,11,12,14,12
9924.58,11,12,14,12
10019.13,11,12,14,12
10114.19,11,12,15,12
10209.72,11,12,15,12
10305.75,12,12,15,12
10402.27,12,12,15,12
10499.28,12,12,15,12
10596.78,12,12,14,12
10694.78,12,12,14,12
10793.27,12,12,14,12
10892.25,12,12,14,12
10991.73,12,12,14,12
11091.88,12,12,14,12
11192.36,12,12,14,12
11293.31,12,12,14,12
11394.76,12,12,14,12
11496.7,12,12,14,12
11599.15,12,12,14,12
11702.08,12,12,14,12
11805.49,12,11,14,12
11909.41,12,12,14,12
12013.8,12,12,13,12
12118.7,12,11,13,12
12224.09,12,11,14,12
12329.97,12,12,13,12
12436.35,12,12,14,12
12543.23,12,12,14,12
12650.59,12,12,14,12
12758.44,12,12,14,12
12866.8,12,12,14,12
12975.63,12,11,14,12
13084.96,11,11,14,12
13194.79,11,11,13,12
13305.11,11,11,14,12
13415.92,11,11,14,12
13527.22,11,12,14,12
13639.01,11,12,14,12
13751.29,11,12,14,12
13864.07,12,12,14,12
13977.34,12,12,14,12
14091.1,12,12,14,12
14205.45,12,12,14,12
14320.2,12,12,14,12
14435.43,12,12,14,12
14551.16,12,12,13,12
14667.39,12,12,13,12
14784.13,12,12,14,12
14901.33,12,12,14,12
15019.05,12,12,13,12
15137.25,12,11,13,12
15255.94,12,11,13,12
15375.13,12,11,13,12
15494.8,12,11,13,12
15614.96,12,11,13,12
15735.63,12,11,13,12
15856.78,11,11,13,12
15978.43,11,11,13,12
16100.56,11,12,13,12
16223.19,11,12,13,12
16346.31,11,11,13,12
16469.92,11,11,13,12
16594.03,11,11,13,12
16718.63,11,11,13,12
16843.72,12,11,13,12
16969.31,11,11,13,12
17095.38,12,11,13,12
17221.95,11,11,13,12
17349.01,12,11,13,12
17476.56,12,11,13,12
17604.61,12,11,13,12
17733.25,12,11,13,12
17862.28,12,12,13,12
17991.8,12,11,13,12
18121.81,12,11,13,12
18252.32,12,11,13,12
18383.32,12,11,13,12
18514.82,12,11,13,12
18646.8,12,11,13,12
18779.28,12,11,13,12
18912.26,12,11,13,12
19045.72,12,11,13,12
19179.68,12,11,13,12
19314.12,12,11,13,12
19449.06,12,11,13,12
19584.5,12,11,13,12
19720.44,12,11,13,12
19856.85,12,11,13,12
19993.77,11,11,13,12
20131.18,11,11,13,12
20269.08,11,11,13,12
20407.47,11,11,13,12
20546.35,11,11,13,12
20685.73,11,11,13,12
20825.59,11,11,13,12
20965.95,11,11,13,12
21106.81,11,11,13,12
21248.16,11,11,13,12
21251.63,11,11,13,12
21255.13,11,11,13,12
21258.65,11,11,13,12
21262.21,11,11,13,12
21265.81,11,11,13,12
21269.77,11,11,13,12
21274.23,11,11,13,12
21279.17,11,11,12,12
21284.61,11,11,12,12
