Time (s),Amps
24614.06,-19968
24781.41,-20224
24949.74,-20736
25119.07,-20992
25289.42,-20736
25292.86,-21248
25297.07,-22528
25302.27,-21504
25308.35,-22272
25315.43,-22272
25323.54,-22528
25332.63,-23296
25342.74,-22272
25354.88,-21504
25358.31,-22272
25362.51,-23040
25367.6,-22272
25373.71,-22272
25380.8,-23296
25388.92,-22272
25398.0,-23040
25408.11,-22528
25420.23,-23040
25433.33,-23552
25447.43,-22272
25462.54,-22272
25478.66,-22272
25495.78,-22272
25513.98,-23040
25533.17,-21248
25553.27,-22272
25574.42,-22272
25596.55,-22272
25619.67,-22272
25643.78,-22528
25668.88,-22528
25695.15,-22272
25722.3,-23040
25750.42,-23040
25779.54,-23040
25809.71,-23296
25840.83,-23296
25872.97,-22528
25907.18,-23040
25942.33,-21504
25978.46,-23040
26015.6,-23040
26053.77,-24320
26092.89,-21504
26133.04,-22528
26174.27,-22528
26216.42,-22528
26259.57,-21504
26303.74,-21504
26348.88,-23040
26395.04,-23552
26442.25,-22528
26490.55,-22272
26539.72,-22272
26589.88,-23040
26641.05,-22272
26693.22,-22528
26746.4,-22528
26800.58,-23296
26855.95,-22528
26912.16,-23296
26969.36,-23296
27027.52,-23296
27086.7,-23552
27146.94,-22528
27208.11,-24320
27270.27,-22528
27333.58,-23808
27397.76,-22272
27462.95,-23040
27529.15,-22528
27596.32,-22528
27664.52,-22528
27733.71,-22272
27804.06,-22528
27875.27,-22528
27947.46,-22528
28020.73,-23040
28094.93,-22528
28170.12,-23296
28246.34,-22528
28323.54,-23296
28401.82,-22528
28481.03,-23296
28561.23,-23552
28642.42,-23040
28724.65,-23040
28807.85,-23040
28892.07,-24320
28977.4,-22528
29063.68,-22528
29150.9,-22272
29239.12,-23040
29328.32,-23552
29418.53,-22528
29509.77,-22272
29602.17,-22528
29695.44,-23040
29789.67,-22528
29884.9,-23040
29981.13,-23040
30078.35,-23040
30176.59,-23296
30275.94,-23040
30376.26,-23040
30477.49,-23040
30579.74,-23296
30682.99,-23040
30787.22,-23040
30892.44,-23552
30998.68,-23296
31106.06,-21248
31214.3,-23296
31323.55,-23040
31433.82,-22528
31545.09,-24320
31657.37,-22272
31770.65,-23040
31885.03,-23040
32000.33,-22272
32116.58,-22272
32233.84,-22528
32352.1,-23040
32471.34,-22528
32591.61,-23040
32713.03,-23552
32835.31,-23040
32958.57,-23296
33082.86,-23040
33208.21,-23296
33334.49,-23296
33461.76,-23296
33590.23,-22528
33719.56,-23808
33849.83,-23808
33981.11,-22528
34113.41,-24320
34246.69,-23040
34380.96,-22528
34516.47,-23040
34652.83,-23296
34790.11,-23040
34928.5,-23040
35067.79,-22272
35208.12,-23296
35349.4,-23040
35491.7,-23040
35635.11,-23040
35779.43,-22528
35924.72,-22528
36071.03,-23296
36218.32,-23296
36366.65,-23296
36515.97,-23296
36666.34,-23552
36817.73,-23552
36970.03,-23552
37123.33,-23552
37277.65,-23296
37433.0,-23808
37589.31,-23296
37746.74,-24576
37905.06,-24320
38064.39,-23040
38224.7,-23040
38386.01,-23040
38548.34,-23040
38711.66,-23296
38877.06,-23040
39043.39,-23296
39210.73,-23296
39379.07,-23808
39548.41,-23808
39718.78,-23296
39890.28,-23552
40062.65,-23296
40236.03,-23552
40410.38,-24576
40585.72,-23552
40762.08,-23552
40939.53,-23296
41118.06,-24576
41297.44,-23552
41477.78,-24320
41659.14,-23040
41841.51,-24576
42024.87,-23040
42209.22,-23296
42394.76,-23040
42581.18,-23040
42768.55,-23040
42956.92,-23552
43146.29,-23040
43336.75,-23040
43528.11,-23296
43720.69,-23296
43914.16,-23040
44108.53,-23808
44303.91,-23296
44500.28,-23808
44697.65,-23040
44896.05,-24320
45095.43,-24832
45295.89,-23552
45497.31,-22528
45699.69,-23040
45903.17,-23808
46107.57,-23296
46312.97,-23296
46519.36,-23552
46726.87,-23040
46935.25,-23296
47144.65,-23296
47355.04,-23040
47566.46,-23296
47778.89,-23296
47992.28,-23296
48206.8,-23552
48422.21,-23552
48638.7,-23040
48856.11,-23808
49074.51,-23040
49293.93,-23808
49514.35,-23296
49735.9,-23808
49958.35,-23552
50181.8,-23296
50406.21,-24832
50631.61,-23808
50858.06,-24576
51085.5,-23040
51314.08,-23808
51543.61,-23296
51774.04,-23552
52005.49,-23296
52237.91,-23552
52471.36,-23296
52705.8,-23296
52941.43,-23296
53177.94,-23296
53415.42,-23040
53653.84,-23040
53893.29,-23296
54133.75,-23552
54375.18,-23552
54617.92,-23552
54861.44,-23296
55105.89,-24320
55351.35,-23552
55597.79,-23296
55845.23,-23552
56093.7,-23552
56343.14,-23552
56593.67,-23296
56845.14,-23552
57097.59,-23040
57351.05,-24576
57605.51,-22528
